sa_id,year,announced,topic,category,module,scope_tier,is_priority,cve,cwe,affects,git_hashes,svn_revisions,github_commit_urls,diff_available,data_quality,advisory_raw_url,source,upstream_path,note,commit_grade
FreeBSD-SA-17:01,2017,2017-01-11,OpenSSH multiple vulnerabilities,contrib,openssh,tool,Yes,CVE-2016-10009; CVE-2016-10010,,All supported versions of FreeBSD.,b24c303d3028,311915; 311916,https://github.com/freebsd/freebsd-src/commit/b24c303d3028aa8a288a317e00544dcbc4f4c641,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:01.openssh.asc,,,,focused
FreeBSD-SA-17:02,2017,2017-02-23,OpenSSL multiple vulnerabilities,contrib,openssl,lib,Yes,CVE-2016-7055; CVE-2017-3731; CVE-2017-3732,,All supported versions of FreeBSD.,c612d5e6c5ad,312863; 314125; 312826; 314126,https://github.com/freebsd/freebsd-src/commit/c612d5e6c5ad019c1a142e43e9ab4c6359d1ef84,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:02.openssl.asc,,,,large_concentrated
FreeBSD-SA-17:04,2017,2017-04-27,ipfilter(4) fragment handling panic,contrib,ipfilter,kernel,,CVE-2017-1081,,All supported versions of FreeBSD.,8d9fb88b2447,317241; 317487,https://github.com/freebsd/freebsd-src/commit/8d9fb88b24470a1789dceec40096fa3ce7638c14,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:04.ipfilter.asc,,,,
FreeBSD-SA-17:06,2017,2017-08-10,OpenSSH Denial of Service vulnerability,contrib,openssh,tool,Yes,CVE-2016-6515,,All supported versions of FreeBSD.,d4649e920a1d,322341; 322344; 322343; 322342,https://github.com/freebsd/freebsd-src/commit/d4649e920a1dc5448f530e327408a351ccc2ccce,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:06.openssh.asc,,,,focused
FreeBSD-SA-17:07,2017,2017-10-16,WPA2 protocol vulnerability,contrib,wpa,kernel,,CVE-2017-13077; CVE-2017-13078; CVE-2017-13079; CVE-2017-13080; CVE-2017-13081; CVE-2017-13082; CVE-2017-13086; CVE-2017-13087; CVE-2017-13088,,All supported versions of FreeBSD.,cfaed0fa41d7,324697; 324698; 324699; 324739; 324740; 324741,https://github.com/freebsd/freebsd-src/commit/cfaed0fa41d7ac3151bcdd1b6450d84fc8451e11,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:07.wpa.asc,,,,
FreeBSD-SA-17:08,2017,2017-11-15,Kernel data leak via ptrace(PT_LWPINFO),core,ptrace,kernel,,CVE-2017-1086,,All supported versions of FreeBSD.,799a19dd010b,325643; 325871; 325870; 325642; 325869; 325868,https://github.com/freebsd/freebsd-src/commit/799a19dd010b834001e7496b64543f17953caaff,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:08.ptrace.asc,,,,
FreeBSD-SA-17:09,2017,2017-11-15,POSIX shm allows jails to access global namespace,core,shm,kernel,,CVE-2017-1087,,FreeBSD 10.x,e645cd9871b0,325783; 325873; 325874,https://github.com/freebsd/freebsd-src/commit/e645cd9871b0a96a5b89a90106acf8e9e3cd6dd2,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:09.shm.asc,,,,
FreeBSD-SA-17:10,2017,2017-11-15,Information leak in kldstat(2),core,kldstat,kernel,,CVE-2017-1088,,All supported versions of FreeBSD.,803389a3c503,325867; 325878; 325877; 325866; 325876; 325875,https://github.com/freebsd/freebsd-src/commit/803389a3c50376ab093341baa32b29fd94d31720,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:10.kldstat.asc,,,,
FreeBSD-SA-17:11,2017,2017-11-29,OpenSSL multiple vulnerabilities,contrib,openssl,lib,Yes,CVE-2017-3735; CVE-2017-3736,,All supported versions of FreeBSD.,a6c99a40328a,326357; 326359; 325337; 326358,https://github.com/freebsd/freebsd-src/commit/a6c99a40328a373952c7676be0b8ef916f0923c9,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:11.openssl.asc,,,,focused
FreeBSD-SA-17:12,2017,2017-12-09,OpenSSL multiple vulnerabilities,contrib,openssl,lib,Yes,CVE-2017-3737; CVE-2017-3738; CVE-2016-0701,,All supported versions of FreeBSD.,b79493272a47,326721; 326723; 326663; 326722,https://github.com/freebsd/freebsd-src/commit/b79493272a47bc9c98501c4c03deaf8c0d983287,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-17:12.openssl.asc,,,,focused
FreeBSD-SA-18:01,2018,2018-03-07,ipsec validation and use-after-free,core,ipsec,kernel,,CVE-2018-6916,,All supported versions of FreeBSD.,ebdab566341a,330609; 330611; 329907; 330566,https://github.com/freebsd/freebsd-src/commit/ebdab566341adf7edaec28bed58bd211882be1a3,,3,https://raw.githubusercontent.com/freebsd/freebsd-doc/main/website/static/security/advisories/FreeBSD-SA-18:01.ipsec.asc,,,,
